Item Code,Country Code,Item Name,Price Level,Selling Price,Qualifying Price,Taxable Price,Commission,Retails Commissions,Product Pack Bonus,Reail Value Volume,For Promotions
ROLL BRUSH,USA,Thermal Roller Brush (Large),9,0,0,0,0,0,0,0,0
ROLL BRUSH2,CAN,Thermal Roller Brush (S) + Canvas Bag Small,9,0,0,0,0,0,0,0,0
ROLL BRUSH2,GBR,Thermal Roller Brush (S) + Canvas Bag Small,1,12,12,10,6,0,0,18,12
ROLL BRUSH2,GBR,Thermal Roller Brush (S) + Canvas Bag Small,2,18,12,15,6,5,0,18,18
ROLL BRUSH2,GBR,Thermal Roller Brush (S) + Canvas Bag Small,3,15,12,12.5,6,2.5,0,18,15
ROLL BRUSH2,GBR,Thermal Roller Brush (S) + Canvas Bag Small,9,0,0,0,0,0,0,0,0
ROLL BRUSH2,USA,Thermal Roller Brush (S) + Canvas Bag Small,1,0,0,0,0,0,0,0,0
ROLL BRUSH2,USA,Thermal Roller Brush (S) + Canvas Bag Small,9,0,0,0,0,0,0,0,0
S3PROMO2,CAN,S3 Supplement Promo,1,75,59,75,55,0,0,79,75
S3PROMO2,CAN,S3 Supplement Promo,2,0,0,0,0,0,0,0,0
S3PROMO2,CAN,S3 Supplement Promo,3,83,59,83,55,8,0,79,83
S3PROMO2,USA,S3 Supplement Promo,1,56,59,56,41,0,0,59,56
S3PROMO2,USA,S3 Supplement Promo,2,"99,999.00",0,0,0,0,0,0,"99,999.00"
S3PROMO2,USA,S3 Supplement Promo,3,65,59,65,41,9,0,59,65
SAP1,USA,SAP Test OTFK,1,99,100,92,70,0,0,0,99
SAP2,USA,SAP Test NON OTFK,1,99,100,92,70,0,0,0,99
SDCSDC,CAN,Smoothing Deep Conditioner + Smoothing Deep C,1,32,0,32,0,0,0,0,32
SDCSDC,CAN,Smoothing Deep Conditioner + Smoothing Deep C,3,32,0,32,0,0,0,0,32
SDCSDC,USA,Smoothing Deep Conditioner + Smoothing Deep C,1,25,0,25,0,0,0,0,25
SDCSDC,USA,Smoothing Deep Conditioner + Smoothing Deep C,3,25,0,25,0,0,0,0,25
SELECTSAMP,CAN,Select Sampling Pack,1,65,0,65,0,0,0,0,65
SELECTSAMP,CAN,Select Sampling Pack,9,0,0,0,0,0,0,0,0
SELECTSAMP,USA,Select Sampling Pack,1,50,0,50,0,0,0,0,50
SELECTSAMP,USA,Select Sampling Pack,3,50,0,50,0,0,0,0,50
SELECTSAMP,USA,Select Sampling Pack,9,0,0,0,0,0,0,0,0
SELSAMPCRD,CAN,Select Sampling Card,9,0,0,0,0,0,0,0,0
SELSAMPCRD,USA,Select Sampling Card,9,0,0,0,0,0,0,0,0
SELSAMPCRD2,CAN,Monat Select Sampling Card v2,9,0,0,0,0,0,0,0,0
SELSAMPCRD2,USA,Monat Select Sampling Card v2,9,0,0,0,0,0,0,0,0
SHATMAS,CAN,Hair TMasque - Invalid,1,13,10,13,0,0,0,13,13
SHATMAS,CAN,Hair TMasque - Invalid,3,13,10,13,0,0,0,13,13
SHATMAS,USA,Hair TMasque - Invalid,1,10,10,10,0,0,0,10,10
